"","industry","start","end","educ_delta","earnings","emp"
"1",212,0.167800935772012,0.155113246396706,-0.0126876893753063,14938.491581064,10026.75
"2",213,0.182544074630406,0.146743792740018,-0.0358002818903874,14498.0617401839,13724.75
"3",211,0.36568115942029,0.238333166783252,-0.127347992637038,27296.7422111358,6454.5
"4",491,0.298850574712644,0.144827586206897,-0.154022988505747,12852.0868754893,112.25
"5",492,0.195045241205787,0.177561327561328,-0.0174839136444594,8573.05512894398,28849.25
"6",493,0.169060179757718,0.170341182725084,0.0012810029673658,8923.55592982116,24417
"7",541,0.511973436795399,0.37425045168454,-0.137722985110859,17296.5822974161,490715.75
"8",334,0.357807292443914,0.342085798816568,-0.0157214936273458,19437.3260497786,95106.25
"9",811,0.181492269773695,0.179794096489263,-0.00169817328443223,9000.2046106657,79624
"10",812,0.175064617058904,0.203452849224072,0.0283882321651689,5650.76798379103,77907.25
"11",813,0.265301142342947,0.278385715485153,0.0130845731422061,6354.80210788587,77283
"12",814,0.161964992065184,0.19726704462858,0.0353020525633958,3996.49864042491,38597.5
"13",452,0.155762468937215,0.164471822555016,0.0087093536178017,5214.13441745227,139302.75
"14",336,0.204409010133999,0.213183466776158,0.0087744566421589,13390.0600897799,63829
"15",331,0.167457868502255,0.171564262392401,0.00410639389014639,12911.5083895311,20038
"16",713,0.21087173049897,0.225787965616046,0.014916235117076,5687.24357091192,91028
"17",712,0.291486603284356,0.272897196261682,-0.0185894070226739,6470.59823096501,6204
"18",711,0.302210817212791,0.285281162404897,-0.0169296548078944,14210.7140669102,31397.75
"19",928,NA,0,NA,NA,0
"20",533,0.384700055035773,0.334739803094233,-0.0499602519415398,16189.769460011,1858.5
"21",532,0.220958852801113,0.194403581707707,-0.0265552710934059,9145.5055341303,42056.75
"22",531,0.24377855086639,0.238589211618257,-0.005189339248133,9097.50721437598,94769
"23",921,0.186869992246058,NA,NA,7055.69201358133,3597.25
"24",922,0.333333333333333,NA,NA,NA,21.75
"25",923,NA,NA,NA,NA,0
"26",924,NA,NA,NA,NA,0.25
"27",925,NA,0,NA,NA,0
"28",926,NA,NA,NA,NA,0
"29",927,0,0,0,0,0
"30",313,0.151898734177215,0.162046908315565,0.0101481741383498,8683.72174037711,16189
"31",312,0.252886323268206,0.206910864376881,-0.0459754588913253,12618.8246375911,10363.75
"32",311,0.151786118189906,0.177729044065443,0.0259429258755373,8794.8797602806,79019.25
"33",316,0.148569458807308,0.190350877192982,0.0417814183856746,7549.41478506397,2939
"34",315,0.145940505479758,0.211861421021726,0.0659209155419679,5999.32944409688,27454.75
"35",314,0.135852385503198,0.181371545547595,0.0455191600443969,7308.9781252773,12913.5
"36",115,0.120063512743262,0.157311557026198,0.0372480442829364,4907.61415301042,31759.5
"37",114,0.202564102564103,0.168674698795181,-0.0338894037689219,10782.2340713283,1006.5
"38",111,0.12586047908044,0.163127303978108,0.0372668248976679,5510.84289819452,51183
"39",113,0.0957446808510638,0.116230908620243,0.0204862277691795,8825.52872887802,5282
"40",112,0.12697076381448,0.173322115073458,0.0463513512589777,6909.33937310648,12794.5
"41",524,0.444560628945432,0.350601753737873,-0.0939588752075595,13793.212412755,105904.5
"42",525,0.463796800263896,0.27843137254902,-0.185365427714876,14324.0566162247,5187
"43",521,0.423076923076923,0.463576158940397,0.0404992358634743,13595.2366640982,521.75
"44",522,0.430483715852676,0.365694664737769,-0.0647890511149073,13421.3845548335,124338.5
"45",523,0.571884543847161,0.470439400771582,-0.101445143075579,27279.9379651972,50343.25
"46",423,0.290263638736622,0.250862434610491,-0.0394012041261317,14248.3910204809,184419.5
"47",425,0.367370641636446,0.332760483158205,-0.0346101584782407,16726.5577956498,41078.5
"48",424,0.257235405311164,0.238567926641043,-0.0186674786701203,11883.7745169711,117933.5
"49",448,0.204111205415364,0.208281347473487,0.00417014205812297,6656.0560558896,67518
"50",443,0.314053492108496,0.236561767005473,-0.0774917251030234,13028.3585955168,37148
"51",442,0.190395660497766,0.204987783301036,0.0145921228032699,8074.67249944846,35389.75
"52",441,0.182790857808734,0.186562350100071,0.0037714922913368,11348.0696210922,120028
"53",447,0.137760553432695,0.168567355666429,0.0308068022337338,5216.09716804315,62040.5
"54",446,0.263773554774832,0.230291370158318,-0.0334821846165143,8999.49519306318,49819
"55",445,0.155444753168652,0.18649143377732,0.0310466806086682,5858.84215726049,131555
"56",444,0.165300757692902,0.187657394274467,0.0223566365815643,7909.56276554747,67038
"57",519,0.587058163456144,0.42053887811727,-0.166519285338874,20800.0688745835,10390.25
"58",518,0.477450390859892,0.388832358178581,-0.0886180326813112,17655.4501791306,20926.25
"59",511,0.486709310589908,0.402367053691706,-0.084342256898202,16337.8611256652,62954
"60",512,0.473737763587243,0.419770570740688,-0.0539671928465543,10551.103717157,30089.75
"61",515,0.444190584987386,0.357048850352249,-0.0871417346351374,14523.6183207901,21769.75
"62",517,0.4906244236326,0.308912231147203,-0.181712192485397,19223.7760933747,103266
"63",623,0.225297396424004,0.202537440324374,-0.0227599560996302,6542.93852342369,180755.25
"64",622,0.357213397277427,0.281895891452499,-0.0753175058249282,10377.0094680857,182692.25
"65",621,0.309152982014457,0.264287983552062,-0.0448649984623948,10189.1956762467,284841
"66",339,0.233024780083942,0.242185908146216,0.00916112806227443,10403.2381363191,35205.75
"67",624,0.22469991362278,0.20081411755969,-0.0238857960630902,5429.9037154479,117208.75
"68",335,0.204413258240236,0.22468131696254,0.0202680587223037,11795.7619171663,23044.5
"69",451,0.217484302766853,0.221712907117008,0.00422860435015548,5548.76504849298,34690.25
"70",337,0.143904593639576,0.16689200151425,0.0229874078746742,8080.21213581111,34561.25
"71",453,0.18193747865322,0.203981178307349,0.0220436996541283,6226.2753753183,62531
"72",454,0.255490506840897,0.25613744877627,0.00064694193537318,11005.2092171466,34159
"73",333,0.209877004050094,0.19660869962116,-0.013268304428934,12779.836375195,55358
"74",332,0.162859903381643,0.17476860618363,0.011908702801988,10303.9101829663,83435
"75",561,0.204054479986869,0.19767638670301,-0.00637809328385899,7169.2129186775,727198.5
"76",562,0.192787086228034,0.178772046981184,-0.0140150392468504,11496.3627730862,21991.5
"77",221,0.490616621983914,0.353174819087001,-0.137441802896913,20078.6965754745,22129.25
"78",722,0.151501332176715,0.172200634184974,0.0206993020082589,4536.01279201171,459637
"79",721,0.159531457687195,0.179823308941638,0.020291851254443,6127.67037849167,127773.25
"80",551,0.381721161035959,0.312687919820876,-0.0690332412150831,16768.0480932941,97099
"81",238,0.151215905790405,0.164738926998937,0.0135230212085324,10784.913871665,330500.25
